,ViolentCrimesPerPop
1379,0.31
1827,0.09
679,0.05
1084,0.07
1559,0.11
366,0.32
1845,0.16
1238,0.04
586,0.56
734,0.1
495,0.22
1510,0.14
71,0.21
1074,0.17
260,0.53
51,0.68
199,0.42
860,0.13
839,0.01
333,1.0
1775,0.83
591,0.87
433,0.18
1318,0.03
949,0.14
1408,0.03
1062,0.07
1233,0.15
427,0.76
1602,0.09
746,0.02
621,0.06
977,0.33
1970,0.53
1565,0.04
721,0.06
399,0.8
1840,0.18
437,0.04
193,0.07
1798,0.14
612,0.24
987,0.08
619,0.13
1422,0.03
1674,0.11
1092,0.07
142,0.3
1878,0.88
2,0.43
1546,0.05
1863,0.07
1320,0.3
340,0.08
737,0.04
1868,0.03
480,0.4
266,0.35
377,0.08
1550,0.03
1691,0.29
440,0.2
272,0.35
185,0.36
1324,0.22
245,0.25
544,0.36
446,0.62
594,0.03
814,0.12
1393,0.29
908,0.07
713,0.12
705,0.29
416,0.01
274,0.13
1353,0.82
1481,0.67
1450,0.44
251,0.63
414,0.1
614,0.4
1303,0.31
1642,0.02
311,0.12
1329,0.28
382,0.04
967,0.1
426,0.0
530,0.04
1059,0.31
1648,0.05
1352,0.11
409,0.25
1609,0.06
1548,0.08
1746,0.06
932,0.11
1931,0.12
1992,0.19
1454,0.15
1762,0.03
183,0.02
1337,0.04
716,0.28
171,0.08
293,0.28
1948,0.18
585,0.09
301,0.03
1870,0.34
556,0.01
483,0.11
1646,0.08
846,0.4
273,0.27
1544,0.75
1056,1.0
1019,0.04
372,0.03
1437,0.1
1076,0.03
600,0.87
775,0.3
519,0.0
335,0.03
693,0.35
1165,0.38
1051,0.45
766,0.34
15,0.3
675,0.95
983,0.08
1680,0.14
681,0.37
1640,0.79
466,0.28
1152,0.12
200,0.18
1205,0.05
1054,0.39
1989,0.09
1456,0.32
1905,0.14
1434,0.05
1396,0.2
1767,0.67
745,0.23
1921,0.16
43,0.22
275,0.36
1095,0.28
101,0.02
889,0.22
1390,0.18
1916,0.63
107,0.09
1282,0.14
498,0.14
1974,0.52
1630,0.02
1279,0.52
1381,0.02
1731,0.08
1293,0.05
1700,0.5
592,0.01
72,0.05
1314,0.15
1455,0.11
1166,0.31
629,0.17
482,0.69
1608,0.13
507,0.13
963,0.03
768,0.1
1983,0.56
1778,0.48
1384,0.15
1956,0.3
312,0.2
1211,0.76
406,0.2
1603,0.2
1461,0.04
310,0.16
227,0.19
1693,0.13
708,0.36
1524,0.93
1628,0.38
793,0.21
149,1.0
807,0.09
818,0.22
915,0.12
813,0.1
833,0.03
576,0.04
558,0.36
695,0.72
1719,0.23
1343,0.1
1160,0.3
953,0.73
287,0.01
1947,0.06
1721,1.0
599,0.03
1223,0.19
1541,0.21
1747,0.5
1582,0.66
1055,0.26
1757,0.09
803,0.5
901,0.02
638,0.15
1203,0.03
765,0.05
610,0.41
1692,0.2
1197,0.06
1418,0.13
1006,0.67
494,0.36
1316,0.12
278,0.05
1841,0.16
359,0.07
1179,0.03
237,0.02
552,0.52
1862,0.26
969,0.3
209,0.15
1382,0.47
1555,0.32
58,0.55
632,0.14
1579,0.14
1854,0.16
1572,0.11
364,0.06
506,0.13
671,0.07
1462,0.0
1783,0.53
1788,0.39
1311,0.06
979,0.07
1334,0.07
118,0.06
1670,0.48
1145,0.39
523,0.24
514,0.21
81,0.24
722,0.23
1014,0.25
381,0.03
1028,0.24
1683,0.37
84,0.03
1672,0.04
330,0.07
6,0.03
1805,0.45
756,0.05
944,0.16
870,0.54
452,0.2
491,0.29
1476,0.12
288,0.59
907,0.04
1979,0.16
1776,0.03
1115,0.12
1897,0.15
1631,0.04
1808,0.26
1780,0.05
875,0.06
917,0.53
1857,0.15
1645,0.07
328,0.17
443,0.05
772,0.36
1617,0.31
1533,0.18
874,0.35
178,0.1
1341,0.42
702,0.07
86,0.08
1404,0.27
1893,0.3
458,0.07
1823,0.41
54,0.1
1702,0.09
644,0.05
678,1.0
222,0.36
113,0.2
1506,0.55
1226,0.11
995,0.36
175,0.17
1914,0.54
590,0.41
1554,0.78
18,0.15
424,0.03
1339,0.06
286,0.51
1811,0.53
429,0.42
1592,0.11
1037,0.4
670,0.27
31,0.19
1980,0.28
723,0.82
1766,0.01
215,0.49
810,1.0
327,0.17
561,0.08
1111,0.05
701,0.1
747,0.17
1188,0.2
342,0.0
630,0.89
148,0.63
1581,0.12
361,0.22
83,0.0
48,0.11
469,0.03
156,0.03
1971,0.22
1030,0.2
1199,0.06
1879,0.2
1201,0.02
1625,0.43
501,0.24
1759,1.0
180,0.12
1607,0.69
1023,0.03
782,0.1
924,0.39
1614,0.07
529,0.0
347,0.08
1760,0.12
1954,0.48
808,0.21
1966,0.3
1007,0.04
602,0.23
1048,0.05
244,0.18
887,0.02
1395,0.06
1471,0.01
313,0.51
436,0.06
1892,0.15
1839,0.16
309,0.02
431,0.53
661,0.03
371,0.18
567,0.41
975,0.09
182,0.3
863,0.07
622,0.1
1589,0.11
1191,0.15
1972,0.3
1468,0.04
1835,0.65
1968,0.19
1864,0.02
297,0.02
1610,0.91
462,1.0
1929,0.17
1331,0.41
378,0.26
1101,0.04
105,0.44
126,0.17
1129,0.38
835,0.29
356,0.06
1611,0.04
683,0.23
809,0.02
966,0.52
210,0.29
880,0.1
141,0.09
1433,0.05
1335,0.05
1058,0.3
1569,0.53
1291,0.14
965,0.16
888,0.08
712,0.08
1262,0.84
1451,0.6
856,0.2
10,0.24
1689,0.34
1122,0.09
283,0.32
811,0.24
1091,0.37
292,0.03
755,0.16
627,0.01
939,0.06
858,0.97
129,0.03
1174,0.0
324,0.3
1421,0.7
1457,0.38
1695,0.32
1859,0.34
862,0.26
1229,0.33
696,0.04
216,0.08
1041,1.0
1346,0.03
159,0.06
1613,0.15
1194,0.1
842,0.33
635,0.09
